                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2395,                 4.2133,                 1.7383,                0.53896,                0.02527,                0.11554,                 0.0392,                 2.3459,                 4.3358,                 2.0287,             0.00066133,             0.00066133,             0.00066133
                      2,                  2.456,                 3.2425,                 1.9314,                0.24143,                0.23037,                0.14814,                0.04352,                 2.4837,                 3.2037,                  2.278,              0.0013149,              0.0013149,              0.0013149
                      3,                 2.4732,                 2.7661,                  2.008,                 0.2434,                0.20939,                 0.1391,                0.04389,                 2.4964,                 3.0129,                  2.272,              0.0019552,              0.0019552,              0.0019552
                      4,                 2.4866,                 2.6571,                 2.0012,                0.27458,                0.28881,                0.18855,                0.05794,                 2.4957,                 2.6347,                 2.2136,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4234,                 2.4821,                  1.988,                0.27342,                0.26173,                0.18703,                 0.0593,                 2.4535,                 2.6216,                  2.197,              0.0019208,              0.0019208,              0.0019208
                      6,                  2.371,                 2.4042,                 1.9535,                0.33584,                0.29603,                0.22569,                0.07237,                 2.3728,                 2.3687,                 2.1132,               0.001901,               0.001901,               0.001901
                      7,                 2.3394,                 2.3769,                 1.9355,                0.34002,                0.41336,                0.29212,                0.10264,                 2.2385,                 2.2199,                 2.0478,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.2851,                  2.272,                 1.9557,                 0.3937,                 0.3917,                0.29156,                 0.1024,                 2.1909,                  2.244,                 1.9776,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.2551,                  2.183,                 1.8981,                0.34652,                0.37545,                0.29808,                0.10235,                  2.179,                 2.1728,                 1.9699,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.239,                 2.1673,                 1.8413,                0.34807,                0.39531,                0.30622,                0.10477,                 2.1824,                 2.0913,                 1.9539,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2315,                 2.1711,                 1.8705,                0.38378,                0.40072,                0.33719,                0.11903,                 2.1429,                 2.0344,                 1.9489,               0.001802,               0.001802,               0.001802
                     12,                 2.1886,                 2.1495,                 1.8201,                0.42543,                0.38448,                0.33511,                0.12376,                 2.1571,                 2.0878,                 1.9322,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2033,                 2.0905,                 1.8327,                0.45881,                0.43141,                 0.4028,                0.14512,                 2.1256,                 1.9041,                 1.8648,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.1766,                 2.0606,                 1.8187,                0.42928,                0.45126,                0.39508,                0.13465,                 2.1307,                  2.046,                 1.9144,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1355,                 2.0193,                 1.7876,                0.32536,                0.48052,                0.30765,                0.12298,                 2.0634,                 2.0158,                  1.864,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1516,                 1.9957,                 1.8043,                0.46567,                 0.4657,                0.41859,                0.16667,                 2.0709,                 1.9472,                 1.8857,               0.001703,               0.001703,               0.001703
                     17,                 2.1025,                 1.9317,                 1.7643,                0.50537,                0.50181,                0.45903,                0.16972,                 1.9949,                 2.2084,                 1.8348,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1171,                 1.9451,                 1.7723,                0.49571,                0.53231,                0.47349,                0.18082,                 2.0452,                 1.7792,                 1.8484,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.0921,                 1.8857,                 1.7378,                0.44147,                0.47834,                0.42694,                0.17259,                 1.9843,                 1.8372,                 1.7694,              0.0016436,              0.0016436,              0.0016436
                     20,                  2.078,                 1.9055,                 1.7434,                0.49806,                0.51264,                0.45949,                0.18216,                 2.0389,                 1.8331,                  1.837,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0514,                 1.8841,                 1.7084,                0.49259,                0.54693,                0.48515,                 0.1861,                 1.9691,                 1.7313,                  1.765,               0.001604,               0.001604,               0.001604
                     22,                 2.0591,                 1.8558,                 1.7189,                 0.5034,                0.49278,                0.43812,                0.17331,                 1.9806,                 1.8558,                 1.7736,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0675,                 1.8343,                 1.7214,                0.48732,                0.51131,                0.44956,                0.17079,                 2.0408,                 1.7521,                 1.8491,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0524,                 1.8378,                 1.7218,                0.53438,                0.55957,                0.51002,                0.20102,                 1.9871,                 1.7395,                 1.7993,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0316,                  1.845,                 1.7038,                0.52257,                0.54874,                0.50605,                 0.2066,                  1.976,                 1.6856,                  1.758,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0191,                 1.7711,                 1.6815,                0.52688,                0.55235,                0.50705,                0.20553,                 1.9741,                 1.7135,                 1.7729,               0.001505,               0.001505,               0.001505
                     27,                 1.9946,                  1.804,                 1.6837,                0.57046,                0.51444,                0.51086,                0.19988,                 1.9595,                 1.8778,                 1.7641,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.0063,                  1.747,                 1.6651,                0.55778,                0.54332,                0.51111,                0.21266,                 1.9197,                 1.7113,                 1.7367,              0.0014654,              0.0014654,              0.0014654
